"sclAutoID","sclName","sclCode","sclCluster","sclCommune","sclDistrict","sclProvince","sclZone","sclOrder","sclStatus","sclImage","sclZoneName","sclProvinceName","sclDistrictName","updated_at","total_students","total_teachers","total_teachers_female","total_students_female","created_at","deleted_at","updatedat","latitude","longitude","province_code"
"6961","សាលាបឋមសិក្សាអណ្ដូងពោធិ៍","20040207004",,,"110","23","3","6961","1",,,,,,,,,,,,,"10.53517846257376","104.3655169886682","23"
"6968","សាលាបឋមសិក្សាទួលច្រេស","20030606013",,,"109","23","3","6968","1",,,,,,,,,,,,,"10.46687099769728","104.2461571454592","23"
"6989","សាលាបឋមសិក្សាម៉ឺនជ័យ","20030708016",,,"109","23","3","6989","1",,,,,,,,,,,,,"10.59415746859353","104.2470713863563","23"
"6969","សាលាបឋមសិក្សាហ៊ុនសែនសំរោង","20030602011",,,"109","23","3","6969","1",,,,,,,,,,,,,"10.514983533957","104.2708198207468","23"
"6990","សាលាបឋមសិក្សាសង្កែ","20030902019",,,"109","23","3","6990","1",,,,,,,,,,,,,"10.57344413990711","104.352531248842","23"
"7049","សាលាបឋមសិក្សាឈូកមាស","20051615050",,,"111","23","3","7049","1",,,,,,,,,,,,,"10.46397565558914","104.220197998056","23"
"6970","សាលាបឋមសិក្សាជ្រុងពពេល","20030501010",,,"109","23","3","6970","1",,,,,,,,,,,,,"10.56174170777158","104.23969137317","23"
"6971","សាលាបឋមសិក្សាត្រពាំងវែង","20030504032",,,"109","23","3","6971","1",,,,,,,,,,,,,"10.55968350945363","104.383105688809","23"
"6938","សាលាបឋមសិក្សាត្រពាំងបន្ទាយ","20041602052",,,"110","23","3","6938","1",,,,,,,,,,,,,"10.51255419980068","104.2192358667481","23"
"6986","សាលាបឋមសិក្សាសេកយំ","20030806030",,,"109","23","3","6986","1",,,,,,,,,,,,,"10.53811105335862","104.321856402152","23"
"6952","សាលាបឋមសិក្សាទួលប្រាសាទ","20041305054",,,"110","23","3","6952","1",,,,,,,,,,,,,"10.54340514221686","104.2329171122022","23"
"6943","សាលាបឋមសិក្សាហ៊ុនសែនមុខដា","20041103035",,,"110","23","3","6943","1",,,,,,,,,,,,,"10.40104719687642","104.2299860919178","23"
"6937","សាលាបឋមសិក្សាឧត្តមសាមគ្គី","20041505045",,,"110","23","3","6937","1",,,,,,,,,,,,,"10.42794295459272","104.3350786118779","23"
"6963","សាលាបឋមសិក្សារមាសហែក","20040108003",,,"110","23","3","6963","1",,,,,,,,,,,,,"10.5813942742545","104.2330950761712","23"
